dataset,rows,cols,nnz,cusparse_kernel_ms,cusparse_e2e_ms,cusparse_gflops,preprocess_adj_ms,preprocess_iter_ms,preprocess_max_ms,mp_adj_ms,mp_adj_gflops,mp_iter_ms,mp_iter_gflops,mp_max_ms,mp_max_gflops,mp_best_strategy,mp_best_ms,mp_best_gflops,mp_e2e_ms,speedup_kernel
c-63,44234,44234,390470,0.14766,7.65482,676.959,31.199,33.176,NA,0.52183,1114.348495,0.55304,970.937646,NA,NA,adj,0.52183,1114.348495,31.72083,0.283
c-64b,51035,51035,666806,0.19696,13.46941,866.702,30.434,87.199,NA,1.38072,494.467341,1.19599,514.647754,NA,NA,iter,1.19599,514.647754,88.39499,0.165
c-65,48066,48066,312462,0.13752,8.54805,581.649,26.35,26.037,NA,0.53570,962.740406,0.55914,867.277101,NA,NA,adj,0.53570,962.740406,26.88570,0.257
c-66b,49989,49989,449018,0.17467,8.64654,658.075,32.75,42.049,NA,0.79493,822.327205,0.74668,791.240214,NA,NA,iter,0.74668,791.240214,42.79568,0.234
c-67b,57975,57975,473960,0.16857,10.48157,719.779,40.739,35.634,NA,0.92048,698.663355,0.51700,1099.413747,NA,NA,iter,0.51700,1099.413747,36.15100,0.326
c-69,67458,67458,556512,0.23374,11.23724,609.515,40.36,42.388,NA,0.67707,1234.216600,0.69853,1117.720126,NA,NA,adj,0.67707,1234.216600,41.03707,0.345
c-70,68924,68924,590062,0.24492,12.40566,616.755,41.466,48.809,NA,0.69825,1263.471639,0.71008,1155.283819,NA,NA,adj,0.69825,1263.471639,42.16425,0.351
c-72,84064,84064,623494,0.28539,13.64861,559.293,45.137,56.746,NA,0.82764,1179.609979,0.85062,1067.424301,NA,NA,adj,0.82764,1179.609979,45.96464,0.345
c-73b,169422,169422,1109852,0.54909,28.93736,517.444,87.836,495.95,NA,4.93175,398.877122,4.81010,395.244980,NA,NA,iter,4.81010,395.244980,500.76010,0.114
ca-AstroPh,18772,18772,396100,0.12182,3.51955,832.423,45.979,40.764,NA,0.10082,8305.504773,0.09773,8188.432498,NA,NA,iter,0.09773,8188.432498,40.86173,1.246
ca-CondMat,23133,23133,186878,0.10205,3.81176,468.789,21.775,22.24,NA,0.06681,6187.124605,0.06040,6631.671521,NA,NA,iter,0.06040,6631.671521,22.30040,1.690
cage11,39082,39082,559722,0.18868,7.40303,759.419,46.965,46.771,NA,0.06640,13913.386772,0.06558,14038.314708,NA,NA,iter,0.06558,14038.314708,46.83658,2.877
cage13,445315,445315,7479343,3.17254,86.29713,603.527,584.714,578.735,NA,0.82993,15568.611793,0.81979,15621.634124,NA,NA,iter,0.81979,15621.634124,579.55479,3.870
cage14,1505785,1505785,27130349,12.44297,478.38818,558.176,2202.73,2150.28,NA,3.00880,15522.441143,2.97894,15620.624669,NA,NA,iter,2.97894,15620.624669,2153.25894,4.177
ca-HepPh,12008,12008,236978,0.07494,2.21066,809.572,28.84,32.564,NA,0.07897,7246.472982,0.07109,7249.553678,NA,NA,iter,0.07109,7249.553678,32.63509,1.054
cant,62451,62451,3944932,0.45351,16.15807,2226.863,108.035,113.23,NA,0.12304,18439.680079,0.09589,16773.003724,NA,NA,iter,0.09589,16773.003724,113.32589,4.729
case9,14454,14454,144342,0.05960,2.52344,620.026,5.861,17.352,NA,0.97430,166.682782,0.97483,144.070257,NA,NA,adj,0.97430,166.682782,6.83530,0.061
cat_ears_4_4,19020,44448,132888,0.08276,5.47114,411.062,11.836,11.522,NA,0.03439,7008.933977,0.03424,6981.818006,NA,NA,iter,0.03424,6981.818006,11.55624,2.417
cbuckle,13681,13681,662834,0.11387,3.11374,1490.193,12.657,11.489,NA,0.10068,2760.292820,0.10113,1968.408310,NA,NA,adj,0.10068,2760.292820,12.75768,1.131
ccc,49152,49152,147456,0.13076,8.39724,288.685,12.57,13.937,NA,0.04563,6618.312481,0.04565,6615.343274,NA,NA,adj,0.04563,6618.312481,12.61563,2.866
cfd2,123440,123440,2964458,0.46324,22.65844,1638.257,134.856,128.109,NA,0.18321,16704.136548,0.15092,14476.645408,NA,NA,iter,0.15092,14476.645408,128.25992,3.069
ch7-7-b5,35280,52920,211680,0.12571,7.34198,431.085,16.698,17.704,NA,0.04618,7825.454749,0.04616,7826.797036,NA,NA,iter,0.04616,7826.797036,17.75016,2.723
ch7-8-b4,141120,58800,705600,0.35725,21.30431,505.618,53.595,54.867,NA,0.13531,8571.999674,0.13523,8577.191900,NA,NA,iter,0.13523,8577.191900,55.00223,2.642
ch7-9-b3,105840,17640,423360,0.21674,11.55992,500.047,32.798,29.787,NA,0.08835,8100.881253,0.08837,8099.003425,NA,NA,adj,0.08835,8100.881253,32.88635,2.453
ch7-9-b5,423360,317520,2540160,1.28532,57.36841,505.929,200.777,206.771,NA,0.45699,9487.639675,0.45687,9489.976932,NA,NA,iter,0.45687,9489.976932,207.22787,2.813
ch8-8-b3,117600,18816,470400,0.24244,9.72899,496.706,31.843,35.944,NA,0.10060,7954.722885,0.10064,7951.485285,NA,NA,adj,0.10060,7954.722885,31.94360,2.410
ch8-8-b5,564480,376320,3386880,1.69150,77.57658,512.586,245.269,256.984,NA,0.60051,9625.755333,0.60051,9625.537067,NA,NA,adj,0.60051,9625.755333,245.86951,2.817
Chebyshev4,68121,68121,5377761,1.47794,25.35295,931.504,197.532,6690.05,NA,9.59945,502.772001,9.59601,500.613158,NA,NA,iter,9.59601,500.613158,6699.64601,0.154
Chevron1,37365,37365,330633,0.11378,6.21237,743.894,15.103,12.348,NA,0.04432,8570.055664,0.04020,7585.939710,NA,NA,iter,0.04020,7585.939710,12.38820,2.830
Chevron2,90249,90249,803173,0.24787,14.97195,829.529,36.476,32.934,NA,0.09525,9657.774369,0.08882,8305.943133,NA,NA,iter,0.08882,8305.943133,33.02282,2.791
Chevron4,711450,711450,6376412,1.84856,135.23531,883.044,293.012,245.954,NA,0.68989,10567.494116,0.61753,9431.207281,NA,NA,iter,0.61753,9431.207281,246.57153,2.993
chipcool1,20082,20082,281150,0.08786,3.53935,819.226,30.848,34.293,NA,0.04549,11738.136423,0.04510,11825.613061,NA,NA,iter,0.04510,11825.613061,34.33810,1.948
circuit_4,80209,80209,307604,0.20955,13.86177,375.787,22.719,37.587,NA,1.00854,478.294244,0.83709,561.540017,NA,NA,iter,0.83709,561.540017,38.42409,0.250
circuit5M_dc,3523317,3523317,19194193,9.59472,634.93689,512.127,1127.31,1158.01,NA,3.46554,7531.334787,3.42870,7557.683894,NA,NA,iter,3.42870,7557.683894,1161.43870,2.798
cit-HepPh,34546,34546,421578,0.13894,9.04076,776.787,50.45,52.835,NA,0.09322,9642.881821,0.07928,11019.375106,NA,NA,iter,0.07928,11019.375106,52.91428,1.753
cit-Patents,3774768,3774768,16518948,13.20204,584.75403,320.318,2491.94,2103.69,NA,4.27807,8560.126139,4.23774,8424.540917,NA,NA,iter,4.23774,8424.540917,2107.92774,3.115
ckt11752_dc_1,49702,49702,333029,0.13861,9.06869,615.080,22.809,29.167,NA,0.52253,855.310838,0.49305,865.433368,NA,NA,iter,0.49305,865.433368,29.66005,0.281
cnr-2000,325557,325557,3216152,0.81355,59.43723,1012.031,119.282,133.951,NA,0.66358,4197.278042,0.65724,3948.597623,NA,NA,iter,0.65724,3948.597623,134.60824,1.238
co2010,201062,201062,974574,0.62835,62.77814,397.059,99.606,111.601,NA,0.20187,10215.035154,0.20582,9927.801300,NA,NA,adj,0.20187,10215.035154,99.80787,3.113
coAuthorsCiteseer,227320,227320,1628268,0.68729,36.75005,606.495,110.836,126.52,NA,0.39737,5583.466638,0.38402,5344.514919,NA,NA,iter,0.38402,5344.514919,126.90402,1.790
coAuthorsDBLP,299067,299067,1955352,0.94003,47.48539,532.503,156.45,157.677,NA,0.37089,8389.543441,0.36084,8089.902602,NA,NA,iter,0.36084,8089.902602,158.03784,2.605
cond-mat-2005,40421,40421,351386,0.16839,6.82543,534.216,30.868,31.361,NA,0.08151,7304.120534,0.07967,7080.719702,NA,NA,iter,0.07967,7080.719702,31.44067,2.114
conf5_4-8x8-10,49152,49152,1916928,0.25698,10.80668,1909.595,56.608,55.073,NA,0.07928,13967.243945,0.07539,14688.182203,NA,NA,iter,0.07539,14688.182203,55.14839,3.409
conf5_4-8x8-20,49152,49152,1916928,0.25577,10.99820,1918.626,56.594,55.769,NA,0.07934,13956.764924,0.07526,14712.163091,NA,NA,iter,0.07526,14712.163091,55.84426,3.398
conf6_0-8x8-20,49152,49152,1916928,0.25583,10.37362,1918.194,60.317,59.331,NA,0.07932,13960.031267,0.07526,14712.163091,NA,NA,iter,0.07526,14712.163091,59.40626,3.399
conf6_0-8x8-80,49152,49152,1916928,0.25815,10.48886,1900.960,61.034,58.898,NA,0.07926,13970.853079,0.07539,14688.182203,NA,NA,iter,0.07539,14688.182203,58.97339,3.424
cont11_l,1468599,1961394,5382999,3.70846,613.51764,371.596,422.437,435.931,NA,1.36350,8078.056695,1.32671,7555.326092,NA,NA,iter,1.32671,7555.326092,437.25771,2.795
cont1_l,1918399,1921596,7031999,4.30319,298.20419,418.339,475.273,452.563,NA,1.66621,8636.416863,1.62357,8064.967661,NA,NA,iter,1.62357,8064.967661,454.18657,2.650
cont-300,180895,180895,897598,0.46678,30.84481,492.278,77.139,68.976,NA,0.18035,11033.204052,0.17590,9377.202918,NA,NA,iter,0.17590,9377.202918,69.15190,2.654
coPapersCiteseer,434102,434102,32073440,5.45653,137.70016,1504.767,969.526,1162.38,NA,1.25753,16704.565232,1.08696,15470.269499,NA,NA,iter,1.08696,15470.269499,1163.46696,5.020
copter1,17222,17222,193842,0.06623,3.19573,749.264,14.833,12.814,NA,0.03256,10160.503146,0.02740,9808.072162,NA,NA,iter,0.02740,9808.072162,12.84140,2.417
copter2,55476,55476,704476,0.24264,10.51932,743.251,56.114,60.878,NA,0.08526,12228.105316,0.07983,12223.293646,NA,NA,iter,0.07983,12223.293646,60.95783,3.039
crankseg_1,52804,52804,10561406,1.03111,22.80908,2622.154,297.752,286.238,NA,0.80626,7198.496262,0.53031,7541.188228,NA,NA,iter,0.53031,7541.188228,286.76831,1.944
crashbasis,160000,160000,1750416,0.60973,26.53204,734.925,96.872,91.954,NA,0.20969,11046.703313,0.19851,9887.015215,NA,NA,iter,0.19851,9887.015215,92.15251,3.072
crystk02,13965,13965,954618,0.08290,4.56520,2947.807,24.107,22.24,NA,0.03336,14524.739571,0.02597,13692.113643,NA,NA,iter,0.02597,13692.113643,22.26597,3.192
crystk03,24696,24696,1726482,0.20357,6.41329,2171.129,40.543,41.179,NA,0.05657,15462.418109,0.04465,14353.027071,NA,NA,iter,0.04465,14353.027071,41.22365,4.559
